kawa/herbata,napoje,piwo,lody,ciasto,zupa,zapiekanka,pizza,spaghetti,kebab,frytki,rollokebs,mean_prep, mean_difficulty, mean_price, dodaj
28,71,37,70,20,29,29,19,31,34,26,31,11.8564705882,3.62823529412,17.88,drogie/czasochlonne
33,33,38,36,34,30,33,29,39,32,39,39,13.8024096386,4.00481927711,20.4144578313,drogie/proste
13,50,53,20,10,15,46,47,50,13,41,18,13.0957446809,3.71010638298,20.2287234043,drogie/czasochlonne
33,7,6,47,5,51,39,8,46,50,55,45,13.9362244898,4.82908163265,19.9515306122,drogie/proste
31,38,30,45,36,28,39,30,38,34,52,32,14.2147806005,4.0623556582,19.5219399538,drogie/proste
14,9,54,42,35,38,9,45,54,43,14,47,15.7475247525,4.54207920792,23.4158415842,tanie/proste
23,12,45,28,53,55,20,50,20,61,16,21,16.5618811881,4.22772277228,22.4727722772,tanie/proste
58,48,29,27,19,21,24,63,23,29,27,55,13.0047281324,4.12765957447,22.865248227,tanie/czasochlonne
24,57,21,54,23,28,54,55,27,26,16,19,13.8168316832,3.85891089109,21.1559405941,tanie/proste
53,57,18,15,21,24,18,20,46,52,17,51,11.1224489796,4.35969387755,20.818877551,tanie/czasochlonne
15,42,52,49,54,21,21,12,64,25,18,26,14.1403508772,3.58897243108,18.5012531328,drogie/proste
55,39,30,48,46,51,52,11,11,15,15,52,12.6988235294,3.55764705882,17.9247058824,drogie/czasochlonne
35,35,30,35,27,38,33,33,28,31,25,60,13.4390243902,4.2512195122,21.0926829268,tanie/czasochlonne
27,71,28,49,21,22,55,20,49,24,26,29,11.8147268409,3.70308788599,18.4275534442,drogie/czasochlonne
7,8,43,59,17,43,37,53,34,43,38,39,15.486935867,4.43705463183,23.4228028504,tanie/proste
10,57,19,15,46,43,22,15,56,48,45,45,14.9691211401,4.32066508314,19.8242280285,drogie/proste
38,45,39,36,29,37,44,6,27,7,30,39,12.4456233422,3.38461538462,16.5358090186,drogie/czasochlonne
26,54,15,51,19,57,25,21,24,18,50,65,13.8635294118,4.13647058824,18.5858823529,drogie/proste
63,54,23,28,22,25,58,57,9,25,26,25,12.5228915663,3.82409638554,20.1301204819,drogie/czasochlonne
31,39,36,32,30,29,42,33,29,35,33,30,13.4335839599,3.83959899749,19.7393483709,drogie/czasochlonne
56,19,17,17,18,25,20,23,64,48,64,21,14.2959183673,4.44387755102,19.5790816327,drogie/proste
15,17,80,30,63,19,24,51,32,31,20,17,15.7343358396,3.78696741855,21.5062656642,tanie/proste
33,27,43,32,31,31,31,38,67,32,30,26,14.5724465558,4.35866983373,20.4560570071,drogie/proste
30,49,42,37,39,42,51,33,27,24,30,26,13.7139534884,3.59302325581,18.9651162791,drogie/proste
31,37,44,40,57,39,6,38,15,10,46,36,16.1152882206,3.55639097744,18.6040100251,drogie/proste
5,41,37,48,47,46,35,36,37,36,30,6,15.8910891089,3.69306930693,19.1633663366,drogie/proste
35,8,34,46,49,43,5,40,37,48,46,32,16.5579196217,4.17730496454,20.8439716312,tanie/proste
36,31,39,39,6,40,3,37,39,40,31,35,13.6808510638,4.27393617021,21.4813829787,tanie/proste
2,3,31,43,43,29,39,42,46,48,41,43,16.2585365854,4.60243902439,23.4,tanie/proste
19,47,49,44,21,20,38,73,11,16,51,17,14.7339901478,3.77832512315,21.1822660099,tanie/proste
56,54,40,12,16,40,43,11,47,12,42,48,11.5700712589,3.83135391924,17.3372921615,drogie/czasochlonne
31,41,35,30,49,2,32,33,24,30,33,36,13.6117021277,3.8829787234,20.7446808511,tanie/proste
64,63,69,31,57,20,17,10,20,22,22,30,11.3929411765,2.97176470588,16.0141176471,drogie/czasochlonne
61,19,25,26,22,34,60,35,38,35,31,29,12.8963855422,4.00963855422,20.8168674699,tanie/czasochlonne
15,14,59,67,48,52,21,54,17,23,17,12,16.9323308271,3.74937343358,21.2230576441,tanie/proste
54,50,64,19,20,19,14,20,18,62,29,56,10.0447058824,3.84941176471,20.1529411765,drogie/czasochlonne
46,12,44,38,45,54,14,10,47,11,45,44,15.2365853659,3.91951219512,17.6512195122,drogie/proste
31,27,28,28,33,26,41,25,30,25,30,43,13.5885558583,4.1689373297,20.9809264305,tanie/proste
34,4,33,36,33,47,6,38,41,36,36,33,16.0716180371,4.47480106101,21.3076923077,tanie/proste
55,46,11,10,48,50,46,13,43,47,5,49,13.1063829787,4.31205673759,20.1016548463,drogie/czasochlonne
28,21,19,63,58,55,45,20,22,49,15,20,15.3951807229,3.8578313253,19.3228915663,drogie/proste
33,57,27,35,21,76,23,38,26,25,33,28,14.7061611374,3.95971563981,18.5663507109,drogie/proste
14,28,17,55,21,64,20,21,32,68,53,29,15.163507109,4.49052132701,19.2772511848,drogie/proste
29,27,28,31,23,39,57,31,27,59,35,29,13.2843373494,4.30602409639,21.4819277108,tanie/czasochlonne
42,17,55,7,22,18,51,54,59,50,16,15,13.5763546798,4.33251231527,22.4827586207,tanie/proste
51,37,6,39,10,39,58,42,43,41,4,40,12.5341463415,4.36341463415,22.7195121951,tanie/czasochlonne
49,20,24,48,60,9,49,22,59,62,10,11,14.1111111111,4.16075650118,20.5200945626,tanie/proste
11,54,20,28,30,27,14,17,24,49,62,56,13.4642857143,4.11224489796,19.8418367347,drogie/czasochlonne
39,34,33,34,42,24,34,48,35,36,32,29,14.7595238095,3.88095238095,21.269047619,tanie/proste
49,55,21,17,62,21,57,22,21,17,17,56,12.9614457831,3.7421686747,19.6506024096,drogie/czasochlonne
31,34,27,38,32,37,37,32,32,32,31,32,14.2658227848,3.95696202532,20.0025316456,drogie/proste
28,30,37,23,33,61,25,32,29,30,60,34,15.6682464455,4.05213270142,18.6492890995,drogie/proste
26,26,70,26,29,31,41,36,31,34,28,28,13.3325123153,3.77832512315,19.9261083744,drogie/czasochlonne
60,19,22,24,22,21,26,77,30,27,28,67,14.4704491726,4.75886524823,25.6264775414,tanie/proste
44,41,62,23,45,11,16,50,11,56,15,18,12.9617346939,3.59693877551,21.2704081633,tanie/czasochlonne
30,69,31,33,24,22,52,21,29,66,22,26,11.1223529412,3.78117647059,19.4823529412,drogie/czasochlonne
19,25,30,28,30,25,24,50,23,48,27,63,14.443877551,4.59948979592,24.4336734694,tanie/proste
12,51,11,50,52,40,8,43,46,9,50,50,17.2085308057,4.22985781991,20.2298578199,drogie/proste
40,21,47,43,16,55,12,46,17,48,17,15,14.3129973475,4.02652519894,20.2042440318,drogie/proste
46,42,30,31,47,5,3,52,37,53,26,5,14.8885941645,3.98408488064,21.75066313,tanie/proste
13,20,26,27,24,23,57,19,26,65,57,58,12.8771084337,4.44337349398,21.7277108434,tanie/czasochlonne
37,25,36,25,31,76,23,31,34,37,32,35,15.1184834123,4.20379146919,19.5450236967,drogie/proste
28,28,39,36,26,39,31,57,31,30,25,34,14.8341584158,4.24504950495,22.3168316832,tanie/proste
32,57,26,33,23,24,62,44,41,27,26,30,13.04,3.88705882353,20.6517647059,tanie/czasochlonne
14,18,49,23,61,20,47,51,53,16,23,46,16.1971496437,4.18052256532,23.0665083135,tanie/proste
33,40,26,35,35,58,34,24,25,58,26,28,14.1090047393,4.08767772512,19.2701421801,drogie/proste
24,22,27,17,28,27,28,28,62,24,70,64,15.026128266,4.53444180523,20.783847981,tanie/proste
52,55,24,47,26,20,33,19,30,23,26,68,11.3262411348,3.97163120567,19.219858156,drogie/czasochlonne
21,27,45,49,13,22,49,60,21,20,62,26,14.4457831325,4.10361445783,21.1469879518,tanie/proste
17,62,58,19,62,27,20,14,28,57,17,25,13.0,3.48768472906,18.4310344828,drogie/czasochlonne
54,36,26,26,29,20,36,33,29,48,26,60,12.0283687943,4.34042553191,21.9550827423,tanie/czasochlonne
5,42,6,28,42,42,57,45,29,51,36,42,15.6305882353,4.39058823529,22.9011764706,tanie/proste
40,34,63,35,29,29,29,34,23,31,27,32,12.5418719212,3.75615763547,19.6527093596,drogie/czasochlonne
33,41,31,38,31,38,29,39,41,30,45,28,14.7971698113,4.05660377358,19.2617924528,drogie/proste
36,41,7,40,49,4,39,45,41,32,42,49,14.8305882353,4.17882352941,22.0823529412,tanie/proste
27,33,51,55,48,51,32,19,22,15,20,26,14.5263157895,3.43859649123,17.2832080201,drogie/proste
48,18,11,45,43,32,37,10,46,37,36,14,14.6923076923,4.09283819629,17.9469496021,drogie/proste
50,10,51,50,48,47,42,32,6,43,42,2,14.9810874704,3.54609929078,17.8581560284,drogie/proste
7,38,1,46,33,40,42,53,8,43,43,38,16.0331632653,4.50765306122,23.1658163265,tanie/proste
63,37,27,31,24,33,31,35,34,35,33,40,12.756501182,4.04491725768,20.3002364066,drogie/czasochlonne
56,54,39,43,15,56,17,13,41,18,8,46,11.7290640394,3.79556650246,17.6995073892,drogie/czasochlonne
19,51,44,59,41,11,47,18,40,57,9,19,12.243373494,3.68915662651,18.9759036145,drogie/czasochlonne
34,37,41,43,32,28,32,4,37,37,39,35,12.4812030075,3.72681704261,17.305764411,drogie/czasochlonne
55,16,50,40,40,53,10,50,17,11,13,51,14.8842364532,4.10837438424,21.3645320197,tanie/proste
37,28,35,22,26,26,30,58,59,30,30,23,15.2995049505,4.38366336634,22.6163366337,tanie/proste
34,35,0,34,32,39,28,33,34,35,33,40,15.3076923077,4.4801061008,20.6206896552,tanie/proste
29,45,36,32,31,38,27,46,44,6,43,38,15.0578313253,3.96626506024,20.3445783133,drogie/proste
25,28,24,13,58,37,23,18,57,54,28,34,15.5087719298,4.43609022556,20.7969924812,tanie/proste
54,48,40,55,12,40,11,42,7,10,53,50,13.0142180095,3.66113744076,18.9763033175,drogie/czasochlonne
56,30,35,28,27,34,24,20,31,24,32,69,12.4975609756,4.14634146341,19.9317073171,drogie/czasochlonne
47,15,37,50,32,49,45,8,50,11,45,10,14.3308270677,3.77944862155,16.0902255639,drogie/proste
33,25,22,29,31,37,35,31,32,37,33,43,14.3453608247,4.35824742268,20.9097938144,tanie/proste
47,49,3,37,37,40,41,39,42,5,45,36,15.0736342043,4.08313539192,19.5035629454,drogie/proste
37,30,38,47,34,34,32,39,40,35,6,50,13.672985782,4.08056872038,21.8530805687,tanie/proste
61,27,18,53,28,14,21,23,56,22,46,52,13.5866983373,4.19952494062,20.4821852732,drogie/proste
45,47,41,36,23,51,35,31,3,24,36,5,13.0265251989,3.33687002653,16.4880636605,drogie/czasochlonne
23,67,32,28,26,59,20,73,29,23,25,20,15.7317647059,3.82823529412,21.5035294118,tanie/proste
53,47,38,8,43,12,48,55,8,10,51,42,13.3614457831,3.55180722892,20.8192771084,tanie/czasochlonne
47,31,38,52,48,9,13,17,14,40,55,46,13.212195122,3.77317073171,18.6243902439,drogie/czasochlonne
58,15,55,12,46,22,53,20,24,45,22,20,12.4030612245,3.71173469388,18.875,drogie/czasochlonne
7,50,46,5,43,31,45,45,6,32,33,33,14.0531914894,3.8085106383,20.6595744681,tanie/proste
50,38,41,10,43,48,43,48,51,33,11,9,14.5976470588,3.77882352941,20.1670588235,drogie/proste
52,26,17,29,26,17,61,53,31,35,27,30,13.5396039604,4.28217821782,22.6905940594,tanie/proste
7,46,51,52,12,46,41,12,44,48,11,51,11.5439429929,3.91448931116,19.9667458432,drogie/czasochlonne
54,16,68,49,16,44,49,22,15,53,14,23,11.2364066194,3.63593380615,19.0496453901,drogie/czasochlonne
60,26,55,34,32,29,26,32,28,60,22,19,12.4373522459,3.82269503546,19.4940898345,drogie/czasochlonne
49,48,14,56,19,22,18,47,59,18,57,18,14.8188235294,4.01176470588,19.0752941176,drogie/proste
30,38,30,30,37,36,37,27,35,35,29,38,13.9402985075,4.01990049751,19.8905472637,drogie/proste
42,17,12,20,13,51,53,46,22,56,15,45,13.5739795918,4.67602040816,23.8545918367,tanie/proste
36,36,33,37,43,3,36,39,52,30,37,33,14.2409638554,3.98554216867,21.0915662651,tanie/proste
56,14,61,50,26,27,22,49,22,8,19,56,13.4341463415,4.03658536585,21.2512195122,tanie/czasochlonne
11,13,24,55,15,12,59,50,59,8,45,59,15.0634146341,4.61951219512,23.0780487805,tanie/proste
45,8,55,6,50,44,37,45,43,25,45,3,16.1945812808,3.81527093596,19.6600985222,drogie/proste
33,30,39,34,35,44,4,33,35,26,33,30,15.6303191489,4.07180851064,19.1409574468,drogie/proste
7,37,38,35,34,46,46,33,40,40,3,40,14.2355889724,4.27568922306,21.7944862155,tanie/proste
27,29,26,62,54,22,23,23,58,12,22,52,15.3170731707,4.08536585366,20.2926829268,drogie/proste
64,24,22,48,26,31,22,21,27,52,21,52,12.3780487805,4.28780487805,20.987804878,tanie/czasochlonne
55,37,14,51,35,16,10,52,46,62,12,14,14.448019802,4.35396039604,22.5594059406,tanie/proste
35,39,34,38,29,2,29,38,26,35,39,33,12.848806366,4.01856763926,21.2732095491,tanie/czasochlonne
33,27,42,36,34,27,37,27,33,29,38,37,13.735,3.9925,19.9025,drogie/proste
8,35,41,41,7,29,40,46,36,33,47,47,13.9243902439,4.23658536585,21.7658536585,tanie/proste
29,34,26,30,36,21,25,44,33,36,33,25,14.6209677419,4.1747311828,21.6290322581,tanie/proste
14,17,7,48,62,50,12,46,53,9,34,47,19.5037593985,4.51378446115,22.2230576441,tanie/proste
45,11,48,48,15,61,19,52,18,54,13,39,14.1111111111,4.31678486998,22.2836879433,tanie/proste
57,21,51,22,31,14,20,17,64,18,60,46,13.2185273159,4.00237529691,18.7767220903,drogie/czasochlonne
29,34,32,43,36,37,34,21,27,27,30,37,13.8708010336,3.87855297158,19.1705426357,drogie/proste
22,22,22,25,15,50,25,76,23,23,49,58,16.3414634146,4.75365853659,24.4804878049,tanie/proste
38,40,28,32,35,65,33,31,33,31,31,25,14.9336492891,4.10900473934,18.5592417062,drogie/proste
30,36,34,33,25,28,33,27,76,32,29,38,13.6698337292,4.31116389549,20.8361045131,tanie/proste
53,44,6,44,12,49,47,60,7,15,44,34,14.3807228916,4.08915662651,21.3734939759,tanie/proste
12,5,13,51,39,40,51,45,43,11,54,51,17.443373494,4.53253012048,22.0987951807,tanie/proste
47,37,42,35,3,36,43,7,25,41,29,32,10.3793103448,3.68700265252,17.8965517241,drogie/czasochlonne
54,20,63,23,52,58,49,17,14,21,18,17,13.5172413793,3.47290640394,16.3054187192,drogie/proste
44,61,26,62,26,21,63,44,19,18,24,17,12.6329411765,3.41882352941,19.2494117647,drogie/czasochlonne
36,23,52,40,27,38,4,38,35,48,28,35,14.0866336634,4.12623762376,20.7821782178,tanie/proste
31,34,24,27,22,31,36,30,29,41,45,32,13.6596858639,4.22513089005,20.3036649215,drogie/proste
37,9,55,58,8,45,6,42,46,50,51,15,14.7843601896,4.26777251185,20.5402843602,tanie/proste
40,3,4,31,42,34,41,33,43,40,41,40,16.0484693878,4.79081632653,22.0051020408,tanie/proste
20,26,69,22,23,23,61,27,64,27,31,22,12.8963855422,3.88674698795,19.4795180723,drogie/czasochlonne
16,15,22,48,18,42,10,22,40,47,45,51,14.9361702128,4.68085106383,21.5505319149,tanie/proste
37,22,53,20,20,51,55,18,14,11,54,21,12.9787234043,3.56914893617,16.4122340426,drogie/czasochlonne
45,25,22,18,36,33,31,32,37,28,36,20,14.8209366391,4.06336088154,20.1101928375,drogie/proste
14,22,22,56,29,46,20,63,59,23,22,45,17.1805225653,4.85985748219,23.5344418052,tanie/proste
29,29,35,34,30,34,36,28,69,39,28,30,14.3824228029,4.27078384798,20.6294536817,tanie/proste
46,15,58,63,7,57,17,24,20,20,18,61,12.2068965517,4.00246305419,19.4261083744,drogie/czasochlonne
62,35,27,36,35,72,19,22,26,26,32,31,14.2411347518,3.95271867612,17.4940898345,drogie/proste
47,5,32,45,39,40,45,39,44,6,37,36,15.5445783133,4.17108433735,20.3108433735,drogie/proste
53,31,17,41,38,11,42,35,10,12,45,41,13.4920212766,3.85372340426,19.4175531915,drogie/czasochlonne
26,35,14,62,54,17,25,23,45,40,29,29,15.1353383459,4.09523809524,20.2155388471,drogie/proste
43,25,44,47,45,37,41,43,2,8,41,46,14.5426540284,3.68483412322,19.3672985782,drogie/proste
13,45,49,65,45,45,44,6,10,11,17,49,12.9197994987,3.43609022556,17.1203007519,drogie/czasochlonne
22,65,32,48,30,25,29,24,29,23,26,24,13.1352785146,3.53580901857,18.0424403183,drogie/czasochlonne
11,54,39,10,46,16,46,48,12,55,14,53,13.1856435644,4.07178217822,24.099009901,tanie/czasochlonne
37,39,24,30,21,28,64,32,65,21,26,28,13.4240963855,4.14457831325,20.1855421687,drogie/czasochlonne
60,28,51,64,22,25,45,26,20,24,21,20,11.8571428571,3.40640394089,18.1822660099,drogie/czasochlonne
53,11,12,12,14,42,19,47,39,34,45,48,15.045212766,4.76329787234,22.3590425532,tanie/proste
22,35,29,31,23,38,30,31,33,30,40,35,14.3289124668,4.21220159151,19.8514588859,drogie/proste
40,38,51,51,56,8,52,16,41,12,12,44,12.5819477435,3.52019002375,18.703087886,drogie/czasochlonne
19,52,51,22,53,17,20,18,22,47,27,51,12.7343358396,3.72180451128,20.1027568922,drogie/czasochlonne
64,48,33,30,24,24,25,31,32,65,16,33,11.3694117647,4.09176470588,20.5035294118,tanie/czasochlonne
26,47,21,11,16,22,44,13,53,51,52,20,12.4680851064,4.07446808511,18.795212766,drogie/czasochlonne
57,21,59,18,22,24,57,52,18,19,23,53,12.1158392435,4.01182033097,22.7872340426,tanie/czasochlonne
20,18,60,17,11,18,49,20,48,41,52,52,11.9064039409,4.1921182266,21.0812807882,tanie/czasochlonne
34,65,33,32,42,30,29,27,39,33,25,36,13.2941176471,3.74823529412,18.7411764706,drogie/czasochlonne
13,44,10,42,39,20,11,46,43,56,41,12,16.3952254642,4.27055702918,21.8965517241,tanie/proste
26,26,17,72,28,32,53,66,24,23,22,26,15.6795180723,4.15662650602,22.7421686747,tanie/proste
47,44,39,5,50,45,45,37,40,31,26,6,14.5277108434,3.58313253012,18.4192771084,drogie/proste
25,40,34,36,40,7,45,5,50,44,44,45,12.5686746988,3.93734939759,18.9855421687,drogie/czasochlonne
18,27,47,54,32,26,57,13,67,21,31,28,13.7624703088,3.89311163895,18.4180522565,drogie/proste
15,56,55,24,14,17,19,46,21,19,63,57,13.0640394089,3.96798029557,20.8399014778,tanie/czasochlonne
46,38,22,5,39,2,38,40,49,38,41,41,13.64160401,4.33082706767,22.5037593985,tanie/proste
70,28,42,32,15,27,29,34,37,34,34,41,12.0283687943,4.01182033097,19.6666666667,drogie/czasochlonne
29,33,21,36,37,34,53,29,26,62,33,22,13.7445783133,4.01686746988,20.886746988,tanie/proste
38,9,42,14,48,11,11,52,45,39,46,37,15.7219387755,4.38010204082,22.9260204082,tanie/proste
42,35,27,40,35,5,35,42,40,30,39,36,13.7561576355,4.05418719212,21.6724137931,tanie/proste
38,36,52,5,33,37,43,41,32,43,31,30,13.3847980998,3.93111638955,21.1876484561,tanie/czasochlonne
3,42,35,42,39,39,43,34,35,26,43,40,15.0498812352,4.09263657957,20.3681710214,drogie/proste
25,34,63,25,71,30,24,36,23,30,23,22,15.3842364532,3.46798029557,19.4482758621,drogie/proste
66,37,38,34,39,26,33,20,42,25,30,33,12.8226950355,3.72104018913,18.1938534279,drogie/czasochlonne
31,37,37,36,3,36,24,43,47,31,40,39,13.5792079208,4.34405940594,20.7623762376,tanie/proste
47,33,37,38,32,35,26,36,40,39,2,41,13.0566502463,4.08128078818,21.6256157635,tanie/czasochlonne
20,21,20,18,54,55,19,54,25,27,52,34,17.9022556391,4.37343358396,22.1804511278,tanie/proste
28,53,57,55,28,26,30,31,26,34,32,25,12.4870588235,3.53647058824,18.3458823529,drogie/czasochlonne
55,19,23,63,53,46,19,21,42,17,10,53,14.9216152019,4.14014251781,19.8004750594,drogie/proste
41,34,34,9,47,9,41,49,55,38,53,11,15.1045130641,4.05463182898,20.7909738717,tanie/proste
31,26,27,28,36,26,33,34,41,31,30,28,14.7574123989,4.27762803235,20.5741239892,tanie/proste
66,22,49,24,19,57,24,59,17,10,54,21,14.8744075829,3.88625592417,19.2725118483,drogie/proste
46,40,41,43,46,5,10,39,47,35,36,11,14.5513784461,3.73182957393,19.5112781955,drogie/proste
37,33,4,41,54,44,43,38,35,21,5,44,15.5839598997,4.21052631579,21.4536340852,tanie/proste
36,47,7,17,38,12,41,39,42,39,49,9,14.7819148936,3.95744680851,20.7473404255,tanie/proste
49,44,14,46,38,13,41,8,57,41,17,47,12.313253012,4.2,19.6819277108,drogie/czasochlonne
60,19,34,25,25,30,26,65,24,30,28,57,14.4444444444,4.42553191489,23.3144208038,tanie/proste
21,23,58,44,59,28,26,18,17,54,19,32,13.8421052632,3.60651629073,20.1127819549,drogie/proste
39,8,50,14,47,10,48,45,50,54,14,44,14.0283687943,4.41843971631,24.1489361702,tanie/proste
57,22,66,24,15,25,52,26,53,22,20,24,11.5098522167,3.66748768473,18.6896551724,drogie/czasochlonne
61,14,13,13,49,11,44,58,46,15,53,44,15.9691211401,4.4703087886,22.6318289786,tanie/proste
61,15,25,16,24,59,56,17,19,14,60,49,13.4698795181,4.11325301205,17.9975903614,drogie/czasochlonne
12,44,10,52,41,42,51,39,8,41,44,31,15.2072289157,4.07228915663,20.1493975904,drogie/proste
16,58,35,14,24,21,25,56,60,27,24,61,13.9643705463,4.42755344418,23.4346793349,tanie/proste
35,40,29,31,35,30,73,35,24,33,24,26,13.1084337349,3.80963855422,20.3951807229,drogie/czasochlonne
5,8,37,46,39,43,38,49,45,59,44,9,16.5829383886,4.39099526066,21.644549763,tanie/proste
14,18,11,15,19,57,24,62,56,49,51,45,17.0475059382,5.05700712589,23.5629453682,tanie/proste
25,24,26,69,63,19,22,58,19,21,30,28,17.2648514851,3.83168316832,21.7351485149,tanie/proste
21,29,32,27,29,25,38,25,24,31,70,25,14.3829787234,3.93617021277,18.4468085106,drogie/proste
19,26,22,50,16,22,20,24,24,53,55,45,13.5212765957,4.36968085106,21.1170212766,tanie/proste
43,45,12,46,46,13,11,45,46,56,44,16,15.3758865248,4.13475177305,21.3451536643,tanie/proste
43,38,38,53,6,46,11,11,48,50,45,34,12.4609929078,4.17021276596,18.0236406619,drogie/czasochlonne
59,46,37,5,12,13,41,47,42,48,47,9,12.145320197,3.91625615764,20.539408867,tanie/czasochlonne
21,55,50,21,30,22,26,28,71,25,28,48,13.0752941176,3.97411764706,20.6447058824,tanie/czasochlonne
68,18,26,14,54,16,55,43,19,17,18,56,13.6336633663,4.08910891089,21.3886138614,tanie/proste
26,58,25,24,22,33,59,67,24,35,22,30,13.6517647059,4.10823529412,21.7011764706,tanie/proste
19,27,23,19,22,37,52,23,32,60,64,37,13.865060241,4.41686746988,20.4265060241,drogie/proste
76,22,30,28,26,29,20,38,22,33,34,65,12.6524822695,4.19621749409,20.8392434988,tanie/czasochlonne
22,23,44,25,21,21,15,23,29,53,48,52,12.9095744681,4.31914893617,21.2234042553,tanie/czasochlonne
